# CLI Command:

export PROVIDER=ollama
export OLLAMA_MODEL=qwen3.5:4b

python -m src.main --render ascii --map maps/room_s.map --max-steps 30


# Output:

Humanoid Internship Application Project
Map: maps/room_s.map
Max steps: 30
Provider: ollama
Model: qwen3.5:4b

########################
#............#.........#
#.A..........#.........#
#####........#.........#
#...#........###D#######
#...#..K...............#
#...#.....##############
#...#.....#............#
########################

Step 1: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#..A.........#.........#
#####........#.........#
#...#........###D#######
#...#..K...............#
#...#.....##############
#...#.....#............#
########################

Step 2: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#...A........#.........#
#####........#.........#
#...#........###D#######
#...#..K...............#
#...#.....##############
#...#.....#............#
########################

Step 3: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#....A.......#.........#
#####........#.........#
#...#........###D#######
#...#..K...............#
#...#.....##############
#...#.....#............#
########################

Step 4: {'action': 'move', 'direction': 'down'} -> Moved down. | fallback=False
########################
#............#.........#
#............#.........#
#####A.......#.........#
#...#........###D#######
#...#..K...............#
#...#.....##############
#...#.....#............#
########################

Step 5: {'action': 'move', 'direction': 'down'} -> Moved down. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#A.......###D#######
#...#..K...............#
#...#.....##############
#...#.....#............#
########################

Step 6: {'action': 'move', 'direction': 'down'} -> Moved down. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#A.K...............#
#...#.....##############
#...#.....#............#
########################

Step 7: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#.AK...............#
#...#.....##############
#...#.....#............#
########################

Step 8: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#..A...............#
#...#.....##############
#...#.....#............#
########################

Step 9: {'action': 'pick_up'} -> Picked up key. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#..A...............#
#...#.....##############
#...#.....#............#
########################

Step 10: {'action': 'look'} -> Looked around. | fallback=True | error=timed out
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#..A...............#
#...#.....##############
#...#.....#............#
########################

Step 11: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#...A..............#
#...#.....##############
#...#.....#............#
########################

Step 12: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#....A.............#
#...#.....##############
#...#.....#............#
########################

Step 13: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#.....A............#
#...#.....##############
#...#.....#............#
########################

Step 14: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#......A...........#
#...#.....##############
#...#.....#............#
########################

Step 15: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#.......A..........#
#...#.....##############
#...#.....#............#
########################

Step 16: {'action': 'look'} -> Looked around. | fallback=True | error=timed out
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#.......A..........#
#...#.....##############
#...#.....#............#
########################

Step 17: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#........A.........#
#...#.....##############
#...#.....#............#
########################

Step 18: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#.........A........#
#...#.....##############
#...#.....#............#
########################

Step 19: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#..........A.......#
#...#.....##############
#...#.....#............#
########################

Step 20: {'action': 'move', 'direction': 'right'} -> Moved right. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###D#######
#...#...........A......#
#...#.....##############
#...#.....#............#
########################

Step 21: {'action': 'open_door'} -> Door opened. Mission complete. | fallback=False
########################
#............#.........#
#............#.........#
#####........#.........#
#...#........###O#######
#...#...........A......#
#...#.....##############
#...#.....#............#
########################

Mission complete.
Final State:
Agent: Position(row=5, col=16)
Has key: True
Door open: True
Mission complete: True
